anime_id,title,title_japanese,episodes,aired_from,tags,image_url,image_path
10659,Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!,劇場版NARUTO －ナルト－ そよ風伝 ナルトと魔神と3つのお願いだってばよ！！,1,2010-07-31,origin pg-13 - teen 13 or older studiopierrot action comedi martialart shounen superpow,https://myanimelist.cdn-dena.com/images/anime/10/31573.jpg,posters/10659.jpg
13125,Shinsekai yori,新世界より,25,2012-09-29,novel r - 17+ (violenc & profanity) a-1pictur sci-fi mysteri horror psycholog supernatur drama,https://myanimelist.cdn-dena.com/images/anime/12/36775.jpg,posters/13125.jpg
2017,Mermaid&#039;s Scar,人魚の傷,1,1993-09-24,manga r - 17+ (violenc & profanity) madhous drama fantasi horror mysteri,https://myanimelist.cdn-dena.com/images/anime/1/2144.jpg,posters/2017.jpg
28249,Arslan Senki (TV),アルスラーン戦記,25,2015-04-05,manga r - 17+ (violenc & profanity) sanzigen lidenfilm action adventur histor drama fantasi shounen,https://myanimelist.cdn-dena.com/images/anime/6/73588.jpg,posters/28249.jpg
1816,Sonic X,ソニック X,78,2003-04-06,game pg - children tmsentertain sci-fi adventur comedi kid mecha shounen,https://myanimelist.cdn-dena.com/images/anime/3/13606.jpg,posters/1816.jpg
256,Hoshi no Koe,ほしのこえ,1,2002-02-02,origin pg-13 - teen 13 or older comixwavefilm sci-fi space drama romanc mecha,https://myanimelist.cdn-dena.com/images/anime/1/2389.jpg,posters/256.jpg
2771,Chou Kuse ni Narisou,超くせになりそう,39,1994-04-05,manga pg-13 - teen 13 or older studiokyuuma studiokikan azetapictur sliceoflif comedi romanc school shoujo,https://myanimelist.cdn-dena.com/images/anime/3/49689.jpg,posters/2771.jpg
15905,Qin Shi Ming Yue: Wanli Changcheng,秦时明月 肆 万里长城,37,2012-09-30,novel pg-13 - teen 13 or older sparklykeyanimationstudio action histor martialart fantasi,https://myanimelist.cdn-dena.com/images/anime/12/65283.jpg,posters/15905.jpg
17815,Kyoto Animation: Kasa-hen,京都アニメーションCM「傘編」,1,,origin g - all age kyotoanim fantasi,https://myanimelist.cdn-dena.com/images/anime/9/73733.jpg,posters/17815.jpg
4765,Gunslinger Girl: Il Teatrino OVA,ガンスリンガー ガール -IL TEATRINO- OVA,2,2008-10-24,manga pg-13 - teen 13 or older artland action drama militari sci-fi,https://myanimelist.cdn-dena.com/images/anime/12/12641.jpg,posters/4765.jpg
